city,city_pop,long,lat
Lipa City,332386,121.1622,13.9411
Dumaguete City,131377,123.3081,9.3103
Legazpi City,196639,123.7333,13.1333
Marikina City,450741,121.1,14.65
Muntinlupa City,504509,121.05,14.3833
City of Paranaque,665822,121.0167,14.4667
Palayan City,41041,121.0833,15.5333
Malabon,365525,120.9567,14.6625
Tacloban,242089,125.0039,11.2444
Batangas,329874,121.05,13.75
Lucena,266248,121.6167,13.9333
Malolos,252074,120.8114,14.8433
San Fernando,306659,120.6833,15.0333
Binan,333028,121.0833,14.3333
Digos,169393,125.35,6.75
Surigao,154137,125.4833,9.7833
Oroquieta,70757,123.8,8.4833
Tarlac City,342493,120.5979,15.4802
Talisay,227645,123.8333,10.25
Mati,141141,126.2333,6.95
Laoag,111125,120.6,18.2
Mandaluyong City,386276,121.0333,14.5833
Santa Rosa,353767,121.1167,14.3167
Cotabato,299438,124.25,7.2167
Olongapo,233040,120.2833,14.8333
Catbalogan,103879,124.8833,11.7833
General Santos,594446,125.1667,6.1167
Calapan,133893,121.2,13.3667
Tagbilaran City,105051,123.85,9.65
Vigan,53879,120.3869,17.5747
Dasmarinas,659019,120.9367,14.3294
Cabadbaran,73639,125.5346,9.1228
Iloilo,447992,122.5667,10.7167
Tuguegarao,153502,121.7167,17.6167
City of Isabela,112788,121.9667,6.7
San Jose del Monte,574089,121.0453,14.8139
Naga City,196003,123.1667,13.6167
Taguig City,804915,121.05,14.5167
Balanga,96061,120.5333,14.6833
Roxas City,167003,122.75,11.5833
Davao,1632991,125.6,7.0667
Ormoc,215031,124.6167,11.0167
San Pedro,325809,121.0583,14.3583
Cabuyao,308745,121.125,14.275
City of Calamba,454486,121.1667,14.2167
Sorsogon,168110,124.0,12.9667
Antipolo,776386,121.1763,14.5842
Mandaue City,362654,123.9333,10.3333
Butuan,337063,125.5288,8.9534
Baguio City,345366,120.5956,16.4152
Pasay City,416522,121.0,14.55
Kidapawan,140195,125.0894,7.0083
Malaybalay,174625,125.1278,8.1575
Manila,23088000,120.9772,14.5958
Borongan,69297,125.4333,11.6
Maasin,85560,124.85,10.1333
Pagadian,199060,123.4333,7.8333
Dipolog,130759,123.3333,8.5667
Angeles City,411634,120.5847,15.1472
San Juan,122180,121.0333,14.6
Meycauayan,209083,120.95,14.7333
Cabanatuan City,302231,120.9667,15.4833
Bacolod,561875,122.9509,10.6765
San Pablo,266068,121.3167,14.0667
Makati City,582602,121.0333,14.55
Quezon City,2936116,121.0333,14.6333
Tagum,259444,125.8078,7.4478
Imus,403785,120.9367,14.4297
Mabalacat,250799,120.5833,15.2167
Cagayan de Oro,675950,124.65,8.4833
Tandag,56364,126.1833,9.0667
Pasig City,755300,121.0833,14.575
Zamboanga City,861799,122.0833,6.9167
Bacoor,600609,120.9645,14.4624
General Trias,314303,120.8833,14.3833
Ilagan,145568,121.8833,17.1333
Navotas,249463,120.9417,14.6667
Masbate,95389,123.6167,12.3667
Iligan,342618,124.25,8.2333
Puerto Princesa,255116,118.75,9.75
Cadiz,283157,123.3086,10.9587
Santiago,134830,121.55,16.6833
Cebu City,922611,123.9,10.3
Caloocan City,1583978,120.9667,14.65
Valenzuela,620422,120.9833,14.7
Dagupan City,171271,120.3333,16.0333
